###MJD          m      dm   uJy   duJy F err chi/N     RA       Dec        x        y     maj  min   phi  apfit mag5sig Sky   Obs
59529.562868  18.070  0.065   215   14 o  0   1.40 128.39658  19.74171  3551.18  7199.64 2.85 2.76 -47.1 -0.461 19.30 20.78 01a59529o0786o
59533.547337  18.213  0.230   188   43 o  0   1.31 128.39658  19.74171  3497.14  7282.26 3.04 2.96 -40.1 -0.422 18.07 19.06 01a59533o0120o
59533.566877 -16.347  3.561 -1050 3738 o  0   0.87 128.39658  19.74171  3477.92  7236.83 2.90 2.64 -30.1 -0.472 13.33 14.78 01a59533o0161o
59535.504987  14.630  0.639  5105 3261 o  0   1.11 128.39658  19.74171  1286.71  7800.49 2.20 1.82  35.4 -0.430 13.28 13.06 02a59535o0696o
59535.510492  16.315  0.792  1081  857 o  0   0.90 128.39658  19.74171  1227.45  7721.73 2.08 2.02  -6.2 -0.443 14.69 14.51 02a59535o0708o
59535.518773 -15.988  1.373 -1462 2006 o  0   1.73 128.39658  19.74171  1205.91  7838.49 2.03 1.93 -13.1 -0.450 14.03 13.65 02a59535o0726o
59539.540962  18.003  0.096   228   22 o  0   1.08 128.39658  19.74171  8975.98  1280.72 1.92 1.65 -53.0 -0.503 18.80 19.15 02a59539o0789o
59539.550877  18.215  0.124   188   23 o  0   1.13 128.39658  19.74171  8997.35  1318.33 2.07 1.67 -54.3 -0.485 18.68 18.99 02a59539o0809o
59539.554086  18.963  0.657    94   62 o  0   1.18 128.39658  19.74171  8940.41  1241.04 2.15 1.69 -54.3 -0.495 17.82 18.02 02a59539o0816o
59539.557370  18.307  0.146   173   25 o  0   0.98 128.39658  19.74171  8919.34  1359.01 2.17 1.76 -52.7 -0.473 18.70 19.04 02a59539o0823o
59545.622171  18.290  0.113   176   20 o  0   0.95 128.39658  19.74171  5335.89  9559.21 2.73 2.66  63.6 -0.476 19.06 20.02 01a59545o0940o
59545.627281  18.355  0.098   165   16 o  0   1.48 128.39658  19.74171  5358.21  9597.74 2.75 2.66  61.2 -0.476 19.15 20.15 01a59545o0951o
59545.631434  18.223  0.087   186   16 o  0   1.24 128.39658  19.74171  5297.92  9520.23 2.73 2.70  67.3 -0.478 19.13 20.15 01a59545o0960o
59545.647718  18.124  0.101   204   21 o  0   1.06 128.39658  19.74171  5284.58  9638.95 2.79 2.72  69.2 -0.474 19.08 20.10 01a59545o0993o
59557.502087  18.114  0.083   206   17 o  0   0.99 128.39658  19.74171  1469.93  5481.28 3.01 2.85 -43.6 -0.473 19.19 20.99 01a59557o0617o
59557.506610  18.376  0.090   162   15 o  0   1.49 128.39658  19.74171  1453.29  5444.59 3.08 2.89 -55.2 -0.465 19.26 21.01 01a59557o0626o
59557.510295  18.348  0.082   166   14 o  0   1.52 128.39658  19.74171  1514.21  5520.60 3.11 2.90 -56.3 -0.459 19.24 20.93 01a59557o0634o
59557.519223  18.446  0.111   152   17 o  0   0.71 128.39658  19.74171  1535.96  5402.40 2.91 2.76 -54.9 -0.471 19.18 20.90 01a59557o0653o
59561.519358  18.293  0.084   175   15 o  0   0.95 128.39658  19.74171  7454.14  8962.69 2.95 2.87  87.8 -0.444 19.38 20.87 01a59561o0699o
59561.522585  18.210  0.076   189   14 o  0   1.02 128.39658  19.74171  7435.81  8923.25 2.91 2.82  87.6 -0.451 19.38 20.88 01a59561o0706o
59561.525350  18.244  0.074   183   14 o  0   1.56 128.39658  19.74171  7495.90  9000.26 2.97 2.88  88.7 -0.446 19.37 20.92 01a59561o0712o
